Date,Open,High,Low,Close,Volume,Change,ma_5,vel_5,ma_20,vel_20,ma_60,vel_60,com_name,com_code,vol_mean_60,vol_std_60,vol_bolin_check,mean_60,std_60,bolin_check,high_246,new_high_check,pump_date,dump_date,pmp_Open,pmp_High,pmp_Low,pmp_Close,pmp_Volume,pmp_Change,pmp_high_246,pmp_ma_5,pmp_vel_5,pmp_ma_20,pmp_vel_20,pmp_ma_60,pmp_vel_60,dump_period,구독자_요청_종목
2023-08-18,660,823,645,740,14466771,10.944527736131937,689.6,10.399999999999975,665.35,2.700000000000045,690.5666666666667,0.5500000000000682,대명소노시즌,007720,280929.51666666666,764103.0360445604,True,690.5666666666667,25.80196199779285,True,932.0,False,2024-10-10,2023-08-18,888.0,958.0,811.0,958.0,50691765.0,29.986431478968797,849.0,756.2,49.80000000000007,711.5,15.950000000000044,632.3833333333333,6.43333333333328,419,True
2024-01-11,608,670,601,618,2321366,1.9800000190734863,606.4,3.199999999999932,602.35,0.6000000000000227,599.3166666666667,0.2833333333334167,대명소노시즌,007720,71540.8,37706.74109518901,True,599.3166666666667,11.90711461812307,True,895.0,False,2024-08-02,2024-01-11,636.0,720.0,618.0,720.0,7136806.0,29.96389891696751,823.0,586.0,32.60000000000002,564.4,7.5,549.1666666666666,3.349999999999909,204,True
2024-06-11,541,620,528,539,1562667,-0.3696857670979667,545.6,-2.6000000000000227,555.55,0.1999999999999318,538.25,-0.5166666666666515,대명소노시즌,007720,104547.75,66444.43356680422,True,538.25,23.06191004477853,True,895.0,False,2024-08-02,2024-06-11,636.0,720.0,618.0,720.0,7136806.0,29.96389891696751,823.0,586.0,32.60000000000002,564.4,7.5,549.1666666666666,3.349999999999909,52,True
2024-07-04,536,610,536,559,1350296,4.291044776119403,537.6,9.399999999999975,527.3,0.4499999999999318,530.5,0.4500000000000455,대명소노시즌,007720,120350.66666666669,199640.08224967943,True,530.5,22.290455508532947,True,823.0,False,2024-08-02,2024-07-04,636.0,720.0,618.0,720.0,7136806.0,29.96389891696751,823.0,586.0,32.60000000000002,564.4,7.5,549.1666666666666,3.349999999999909,29,True
2024-08-02,636,720,618,720,7136806,29.96389891696751,586.0,32.60000000000002,564.4,7.5,549.1666666666666,3.349999999999909,대명소노시즌,007720,137847.53333333333,256186.08516634008,True,549.1666666666666,28.993375436592544,True,823.0,False,2024-08-06,2024-08-02,687.0,795.0,670.0,723.0,8611627.0,0.5563282336578581,849.0,653.2,34.40000000000009,579.45,7.550000000000068,555.5,3.1333333333333258,4,True
2024-08-05,810,849,655,719,37906761,-0.1388888888888889,618.8,32.799999999999955,571.9,7.5,552.3666666666667,3.200000000000045,대명소노시즌,007720,253898.21666666667,939241.5908352004,True,552.3666666666667,36.20420739039207,True,823.0,True,2024-10-10,2024-08-05,888.0,958.0,811.0,958.0,50691765.0,29.986431478968797,849.0,756.2,49.80000000000007,711.5,15.950000000000044,632.3833333333333,6.43333333333328,66,True
2024-10-10,888,958,811,958,50691765,29.986431478968797,756.2,49.80000000000007,711.5,15.950000000000044,632.3833333333333,6.43333333333328,대명소노시즌,007720,1423330.7333333334,5014875.202419016,True,632.3833333333333,81.47706169173524,True,849.0,True,2024-10-11,2024-10-10,977.0,1200.0,958.0,1110.0,91193147.0,15.866388308977037,958.0,838.8,82.59999999999991,735.45,23.950000000000045,641.4333333333333,9.049999999999956,1,True
2024-10-11,977,1200,958,1110,91193147,15.866388308977037,838.8,82.59999999999991,735.45,23.950000000000045,641.4333333333333,9.049999999999956,대명소노시즌,007720,2267133.433333333,8095404.639380413,True,641.4333333333333,101.73084572414268,True,958.0,True,2024-10-25,2024-10-11,1175.0,1352.0,1100.0,1202.0,54392011.0,3.175965665236052,1270.0,1073.4,40.200000000000045,923.75,23.350000000000023,727.1666666666666,10.649999999999975,14,True
2024-10-15,1044,1270,1033,1112,71152296,8.487804878048781,988.4,85.39999999999998,779.1,24.25,658.3333333333334,9.150000000000093,대명소노시즌,007720,4373823.366666666,14611401.62381054,True,658.3333333333334,126.84150882727542,True,1221.0,True,2024-10-30,2024-10-15,1130.0,1370.0,1105.0,1308.0,42186049.0,13.838120104438644,1352.0,1196.8,50.59999999999991,995.3,29.399999999999977,759.7833333333333,12.549999999999956,15,True
2020-01-03,1605,1685,1605,1655,2607979,2.7950310559006213,1608.0,14.0,1587.75,8.25,1542.6666666666667,0.8333333333334849,엘컴텍,037950,463913.68333333335,670021.6595168889,True,1542.6666666666667,46.55474876710527,True,2165.0,False,2020-01-06,2020-01-03,1710.0,2000.0,1695.0,2000.0,37726930.0,20.84592145015106,2165.0,1687.0,79.0,1611.75,24.0,1549.8333333333333,7.166666666666515,3,True
2020-01-06,1710,2000,1695,2000,37726930,20.84592145015106,1687.0,79.0,1611.75,24.0,1549.8333333333333,7.166666666666515,엘컴텍,037950,501233.6166666666,724758.4287062616,True,1549.8333333333333,75.14938042679401,True,2165.0,False,2020-01-07,2020-01-06,2070.0,2450.0,2055.0,2200.0,63140628.0,10.0,2165.0,1812.0,125.0,1642.75,31.0,1560.6666666666667,10.833333333333483,1,True
2020-01-07,2070,2450,2055,2200,63140628,10.0,1812.0,125.0,1642.75,31.0,1560.6666666666667,10.833333333333483,엘컴텍,037950,1121586.066666667,4860169.197049247,True,1560.6666666666667,112.66218691993278,True,2165.0,True,2020-02-24,2020-01-07,2070.0,2585.0,2035.0,2585.0,59887880.0,29.899497487437188,2645.0,2052.0,159.0,1865.0,46.5,1726.8333333333333,17.75,48,True
2020-01-08,2500,2645,2220,2350,60700731,6.8181818181818175,1963.0,151.0,1683.75,41.0,1573.6666666666667,13.0,엘컴텍,037950,2170355.35,9363829.722111665,True,1573.6666666666667,151.9195445707985,True,2450.0,True,No pumping date,2020-01-08,,,,,,,,,,,,,,No pumping date,True
2020-02-24,2070,2585,2035,2585,59887880,29.899497487437188,2052.0,159.0,1865.0,46.5,1726.8333333333333,17.75,엘컴텍,037950,5997207.2,12434299.883272473,True,1726.8333333333333,200.921535124626,True,2645.0,False,No pumping date,2020-02-24,,,,,,,,,,,,,,No pumping date,True
2020-02-28,2220,2600,1970,2030,91940097,-9.172259507829978,2192.0,8.0,1928.75,7.25,1763.9166666666667,8.416666666666742,엘컴텍,037950,9125625.583333334,16471683.873113755,True,1763.9166666666667,214.82963622105373,True,2645.0,False,No pumping date,2020-02-28,,,,,,,,,,,,,,No pumping date,True
2020-03-09,2435,2695,2365,2470,72050042,9.050772626931568,2234.0,86.0,2043.0,31.75,1830.9166666666667,14.916666666666742,엘컴텍,037950,12127211.383333333,19533782.47414494,True,1830.9166666666667,239.7924449741212,True,2645.0,True,No pumping date,2020-03-09,,,,,,,,,,,,,,No pumping date,True
2021-01-11,1545,1810,1500,1655,36310864,7.119741100323624,1578.0,25.0,1515.0,8.75,1498.0833333333333,1.0833333333332575,엘컴텍,037950,1257093.2166666666,2056102.413163461,True,1498.0833333333333,47.479626912509374,True,2695.0,False,2021-02-04,2021-01-11,1785.0,1865.0,1770.0,1820.0,11196721.0,2.824858757062147,2695.0,1759.0,21.0,1690.75,12.5,1561.3333333333333,4.916666666666515,24,True
2021-01-28,1700,1865,1685,1715,27632915,2.388059701492537,1677.0,7.0,1637.25,11.75,1540.5,6.5,엘컴텍,037950,2757725.9166666665,5419079.506979167,True,1540.5,84.33538775104107,True,2695.0,False,2023-03-30,2021-01-28,1650.0,1983.0,1649.0,1869.0,85320824.0,11.8491921005386,2025.0,1748.4,1.6000000000001364,1534.55,33.549999999999955,1339.4,12.733333333333348,791,True
2021-01-29,1670,1860,1625,1740,31240875,1.4577259475218658,1698.0,21.0,1649.0,11.75,1544.5833333333333,4.0833333333332575,엘컴텍,037950,3152089.5,6298493.6813530885,True,1544.5833333333333,87.94880862099795,True,2695.0,False,2023-03-23,2021-01-29,1930.0,1998.0,1803.0,1861.0,47307388.0,5.319750990379174,2025.0,1738.6,25.399999999999864,1395.45,31.25,1284.45,12.683333333333394,783,True
2021-02-02,1750,1920,1740,1790,29356914,6.865671641791045,1719.0,18.0,1669.75,13.5,1552.1666666666667,4.916666666666743,엘컴텍,037950,3485631.183333333,7173701.087461529,True,1552.1666666666667,94.49404369474912,True,2695.0,False,2023-04-05,2021-02-02,1946.0,2100.0,1900.0,1950.0,83748667.0,7.5565361279647,2025.0,1799.6,55.79999999999996,1655.9,40.40000000000009,1375.9666666666667,11.166666666666742,792,True
2021-05-20,1600,1765,1590,1630,47720407,8.666666666666668,1541.0,35.0,1455.5,10.0,1456.8333333333333,-0.25,엘컴텍,037950,1247996.2333333334,3054542.4919766365,True,1456.8333333333333,73.24770295852356,True,2370.0,False,2023-03-22,2021-05-20,1655.0,1919.0,1650.0,1767.0,48472927.0,1.7857142857142856,2025.0,1713.2,6.7999999999999545,1364.2,29.600000000000136,1271.7666666666669,14.233333333333348,671,True
2022-01-25,1305,1580,1235,1405,42312050,8.076923076923077,1311.0,32.0,1288.75,5.75,1313.5833333333333,-0.3333333333334849,엘컴텍,037950,401549.6,661267.4005384566,True,1313.5833333333333,63.646878487809246,True,1920.0,False,2022-02-24,2022-01-25,1510.0,1695.0,1505.0,1660.0,57249423.0,12.54237288135593,1765.0,1534.0,38.0,1451.5,18.0,1332.9166666666667,5.5,30,True
2022-01-27,1335,1525,1305,1410,44430950,4.444444444444445,1361.0,22.0,1298.25,6.0,1312.0833333333333,-0.1666666666667424,엘컴텍,037950,1315986.5,5674113.447510526,True,1312.0833333333333,61.70110887299516,True,1920.0,False,2022-02-22,2022-01-27,1585.0,1615.0,1510.0,1560.0,15300993.0,5.05050505050505,1765.0,1481.0,9.0,1426.75,13.0,1325.1666666666667,2.9166666666667425,26,True
2022-02-24,1510,1695,1505,1660,57249423,12.54237288135593,1534.0,38.0,1451.5,18.0,1332.9166666666667,5.5,엘컴텍,037950,4332629.066666666,9015919.918805595,True,1332.9166666666667,97.84236572708444,True,1765.0,False,2023-03-15,2022-02-24,1432.0,1983.0,1426.0,1733.0,156453060.0,8.652037617554859,1643.0,1364.0,118.20000000000005,1225.6,27.149999999999864,1204.7333333333331,13.366666666666788,384,True
2022-12-23,915,1180,902,1100,43131699,20.48192771084337,944.6,35.80000000000007,925.0,9.299999999999956,886.5,3.6000000000000227,엘컴텍,037950,1144508.7,4266971.849176879,True,886.5,48.29692764902668,True,1695.0,False,2023-01-04,2022-12-23,1215.0,1365.0,1195.0,1265.0,41625139.0,12.946428571428571,1695.0,1122.0,35.0,993.05,17.59999999999991,913.9833333333332,6.916666666666629,12,True
2022-12-26,1065,1210,1060,1130,34203373,2.727272727272727,988.0,43.39999999999998,936.15,11.149999999999975,890.7,4.2000000000000455,엘컴텍,037950,1854549.4833333332,6896955.863228663,True,890.7,57.60540817357185,True,1695.0,False,2023-01-04,2022-12-26,1215.0,1365.0,1195.0,1265.0,41625139.0,12.946428571428571,1695.0,1122.0,35.0,993.05,17.59999999999991,913.9833333333332,6.916666666666629,9,True
2023-01-04,1215,1365,1195,1265,41625139,12.946428571428571,1122.0,35.0,993.05,17.59999999999991,913.9833333333332,6.916666666666629,엘컴텍,037950,3356508.5,8555147.386940403,True,913.9833333333332,91.9302409930272,True,1695.0,False,2023-01-11,2023-01-04,1305.0,1480.0,1280.0,1380.0,46748737.0,8.661417322834646,1695.0,1295.0,23.0,1090.05,23.75,952.9833333333332,8.883333333333326,7,True
2023-01-11,1305,1480,1280,1380,46748737,8.661417322834646,1295.0,23.0,1090.05,23.75,952.9833333333332,8.883333333333326,엘컴텍,037950,4602077.566666666,9965988.482107064,True,952.9833333333332,136.71366733488992,True,1695.0,False,2023-03-14,2023-01-11,1350.0,1643.0,1342.0,1595.0,126408086.0,25.887924230465664,1615.0,1245.8,80.39999999999986,1198.45,20.799999999999955,1191.3666666666666,11.23333333333312,62,True
2023-03-14,1350,1643,1342,1595,126408086,25.887924230465664,1245.8,80.39999999999986,1198.45,20.799999999999955,1191.3666666666666,11.23333333333312,엘컴텍,037950,7127097.033333333,13397963.004294869,True,1191.3666666666666,128.8970114006551,True,1615.0,True,2023-03-15,2023-03-14,1432.0,1983.0,1426.0,1733.0,156453060.0,8.652037617554859,1643.0,1364.0,118.20000000000005,1225.6,27.149999999999864,1204.7333333333331,13.366666666666788,1,True
2023-03-15,1432,1983,1426,1733,156453060,8.652037617554859,1364.0,118.20000000000005,1225.6,27.149999999999864,1204.7333333333331,13.366666666666788,엘컴텍,037950,9229976.633333333,20380262.46518099,True,1204.7333333333331,142.3237972962857,True,1643.0,True,2023-04-06,2023-03-15,1977.0,2335.0,1930.0,2180.0,148354706.0,11.794871794871794,2100.0,1861.8,62.200000000000045,1709.15,53.25,1391.05,15.083333333333258,22,True
2023-03-16,1825,2025,1720,1734,108164567,0.0577034045008655,1487.8,123.79999999999995,1255.55,29.950000000000045,1218.2833333333333,13.549999999999956,엘컴텍,037950,11831695.933333334,27829868.950514425,True,1218.2833333333333,153.14279275156738,True,1983.0,True,2023-04-06,2023-03-16,1977.0,2335.0,1930.0,2180.0,148354706.0,11.794871794871794,2100.0,1861.8,62.200000000000045,1709.15,53.25,1391.05,15.083333333333258,21,True
2023-04-06,1977,2335,1930,2180,148354706,11.794871794871794,1861.8,62.200000000000045,1709.15,53.25,1391.05,15.083333333333258,엘컴텍,037950,17818631.066666666,33799486.658621006,True,1391.05,264.88817115971364,True,2100.0,True,No pumping date,2023-04-06,,,,,,,,,,,,,,No pumping date,True
