,com_code,com_name,dump_date,High
17,084680,이월드,2024-01-11,3000
16,060230,소니드,2024-02-21,3000
19,049480,오픈베이스,2023-10-11,3005
18,205100,엑셈,2024-01-10,3010
19,207760,미스터블루,2024-01-25,3015
17,042510,라온시큐어,2023-08-04,3020
17,017900,광전자,2024-01-10,3030
15,004140,동방,2024-01-16,3040
13,039420,케이엘넷,2024-01-15,3055
17,073540,에프알텍,2023-06-27,3055
16,002880,대유에이텍,2023-06-01,3070
18,064090,웨스트라이즈,2024-02-26,3070
11,100700,세운메디칼,2023-12-01,3080
22,001810,무림SP,2023-02-28,3100
0,003465,유화증권우,2020-06-19,3100
10,198080,엔피디,2024-02-22,3105
21,050860,아세아텍,2023-04-21,3105
6,015260,에이엔피,2022-04-05,3120
0,357430,마스턴프리미어리츠,2024-03-12,3125
16,098660,에스티오,2023-02-13,3130
13,222810,세토피아,2024-01-23,3135
7,331380,포커스에이치엔에스,2023-07-05,3145
19,306620,네온테크,2024-01-10,3145
20,001250,GS글로벌,2024-02-29,3150
22,039980,폴라리스AI,2024-03-07,3155
8,002820,SUN&L,2024-01-16,3170
22,053270,구영테크,2024-03-08,3170
10,347740,피엔케이피부임상연구센타,2024-03-07,3170
9,033250,체시스,2020-07-02,3172
9,094860,네오리진,2023-04-17,3175
7,217730,강스템바이오텍,2023-06-01,3175
15,024070,WISCOM,2023-04-26,3180
20,014190,원익큐브,2023-12-26,3185
20,025890,한국주강,2023-11-17,3185
3,009810,플레이그램,2019-06-17,3187
22,067770,세진티에스,2023-11-17,3190
22,009180,한솔로지스틱스,2024-01-15,3205
18,047770,코데즈컴바인,2023-04-21,3235
18,048870,시너지이노베이션,2024-01-11,3255
10,070300,엑스큐어,2023-11-23,3260
17,106240,파인테크닉스,2023-02-14,3260
3,080530,코디,2021-07-15,3260
15,169330,엠브레인,2023-11-27,3260
14,340440,세림B&G,2023-04-21,3265
23,089150,케이씨티,2024-02-08,3270
18,050120,ES큐브,2024-02-20,3270
11,011330,유니켐,2023-08-14,3290
15,131100,티엔엔터테인먼트,2023-12-14,3290
10,351320,에스에이티이엔지,2024-01-09,3290
18,012690,모나리자,2024-01-03,3295
10,002920,유성기업,2023-05-08,3300
18,138070,신진에스엠,2023-11-30,3310
19,043360,디지아이,2023-11-07,3310
7,900140,엘브이엠씨홀딩스,2023-06-19,3320
31,011150,CJ씨푸드,2023-12-28,3330
12,009580,무림P&P,2024-02-01,3340
19,039240,경남스틸,2024-03-19,3340
8,003470,유안타증권,2023-02-02,3340
14,037230,한국팩키지,2023-03-02,3350
9,069330,유아이디,2022-02-14,3350
12,011090,에넥스,2021-11-08,3360
19,037030,파워넷,2024-02-19,3375
14,004920,씨아이테크,2023-07-06,3375
24,005360,모나미,2023-12-15,3375
19,333430,일승,2024-01-15,3385
21,014940,오리엔탈정공,2024-02-29,3395
15,039020,이건홀딩스,2023-11-01,3395
28,025440,DH오토웨어,2023-06-12,3400
19,214270,FSN,2024-02-01,3400
13,003080,성보화학,2023-11-07,3420
2,161570,THE MIDONG,2020-09-29,3425
10,089530,에이티세미콘,2022-03-15,3425
12,042110,에스씨디,2021-07-19,3425
0,419050,삼기이브이,2024-01-11,3430
17,008420,문배철강,2024-01-30,3440
6,039310,세중,2023-02-09,3450
22,052220,iMBC,2024-03-11,3450
11,344860,이노진,2024-01-17,3450
17,115160,휴맥스,2024-01-12,3455
17,035810,이지홀딩스,2023-04-21,3455
19,205470,휴마시스,2023-08-04,3470
15,175250,아이큐어,2024-01-18,3470
17,014100,메디앙스,2023-12-15,3480
12,143210,핸즈코퍼레이션,2023-11-15,3485
23,321260,프로이천,2024-01-10,3495
16,004255,NPC우,2023-12-22,3500
6,070960,용평리조트,2023-08-14,3500
10,045060,오공,2023-05-26,3500
13,036580,팜스코,2023-12-20,3505
15,060540,에스에이티,2023-12-15,3510
5,007980,태평양물산,2021-10-22,3520
16,057540,옴니시스템,2021-07-16,3521
7,117670,알파홀딩스,2022-06-03,3540
12,201490,미투온,2023-12-08,3540
25,114450,그린생명과학,2023-05-24,3543
8,000400,롯데손해보험,2024-02-14,3545
9,391710,코닉오토메이션,2024-01-11,3545
14,208140,정다운,2022-04-26,3550
26,082850,우리바이오,2023-12-27,3555
8,004150,한솔홀딩스,2023-02-17,3565
8,382480,지아이텍,2024-03-12,3565
17,010040,한국내화,2023-11-15,3570
9,099520,ITX-AI,2020-10-13,3572
11,154040,다산솔루에타,2023-05-09,3580
2,377220,프롬바이오,2024-03-13,3580
16,091340,S&K폴리텍,2023-12-04,3600
8,288980,모아데이타,2023-09-21,3600
2,002355,넥센타이어1우B,2022-04-21,3610
19,047080,한빛소프트,2024-01-24,3615
15,066590,우수AMS,2024-02-19,3615
6,408920,메쎄이상,2023-06-21,3625
12,002200,한국수출포장,2023-11-21,3630
19,082800,비보존 제약,2024-02-21,3630
6,013120,동원개발,2023-11-27,3635
14,046940,우원개발,2023-11-03,3645
21,217500,러셀,2024-01-25,3650
16,322780,코퍼스코리아,2022-12-01,3665
26,004540,깨끗한나라,2024-01-19,3670
19,006910,보성파워텍,2023-12-12,3675
21,018700,바른손,2022-12-09,3685
7,187660,에이디엠코리아,2024-03-11,3690
12,033560,블루콤,2024-01-18,3690
9,084870,TBH글로벌,2021-09-10,3690
11,100130,동국S&C,2024-01-16,3705
12,067290,JW신약,2022-11-30,3707
6,088350,한화생명,2021-10-06,3720
14,021080,에이티넘인베스트,2023-12-28,3725
13,011280,태림포장,2024-02-20,3725
18,065950,웰크론,2023-07-17,3735
18,177830,파버나인,2024-03-18,3750
11,204020,그리티,2022-04-25,3760
17,080000,에스엔유,2024-01-26,3760
11,063760,이엘피,2023-12-22,3765
8,010960,삼호개발,2023-11-24,3770
23,001790,대한제당,2023-12-11,3775
11,099410,동방선기,2023-06-07,3775
5,332370,아이디피,2024-02-16,3780
11,067000,조이시티,2024-01-24,3800
16,091810,티웨이항공,2023-04-20,3800
15,071090,하이스틸,2024-01-30,3825
3,032790,엠젠솔루션,2023-08-29,3828
18,060570,드림어스컴퍼니,2024-01-19,3835
8,023000,삼원강재,2023-04-17,3840
7,006060,화승인더,2023-11-08,3840
2,223310,커머스마이너,2023-06-20,3845
14,353810,이지바이오,2024-03-11,3850
9,263020,디케이앤디,2023-04-28,3850
21,093230,이아이디,2023-04-20,3860
13,003480,한진중공업홀딩스,2023-10-16,3865
9,058450,엔터파트너즈,2023-12-13,3865
20,087260,모바일어플라이언스,2023-10-17,3880
11,007280,한국특강,2022-04-07,3900
24,130500,GH신소재,2023-06-09,3900
15,080420,모다이노칩,2023-03-07,3910
4,010170,대한광통신,2021-06-30,3930
20,058860,KTis,2023-09-18,3935
20,035460,기산텔레콤,2023-06-29,3945
14,009440,KC그린홀딩스,2023-11-15,3950
10,133820,화인베스틸,2022-01-24,3960
28,075970,동국알앤에스,2023-12-18,3960
13,038460,바이오스마트,2024-03-11,3965
27,001795,대한제당우,2023-12-11,3965
8,045390,대아티아이,2023-11-23,3970
10,005750,대림B&Co,2024-02-20,3980
4,376290,씨유테크,2024-01-25,3980
10,005725,넥센우,2022-05-26,3985
23,010820,퍼스텍,2024-01-17,3990
26,189690,포시에스,2023-07-03,3990
17,119500,포메탈,2024-01-17,4000
19,109820,진매트릭스,2023-12-05,4000
10,388790,라이콤,2023-09-22,4000
19,090370,메타랩스,2023-06-09,4015
20,073010,케이에스피,2024-02-29,4020
14,088910,동우팜투테이블,2022-04-26,4030
0,348080,큐라티스,2023-10-12,4030
19,035200,프럼파스트,2023-12-20,4040
12,900290,GRT,2024-01-04,4060
12,123330,제닉,2024-03-08,4080
7,226340,본느,2021-05-28,4085
