회사명,항목,외인순매,기관순매,개인순매,개반순매,법인순매,외기개반,종가
하나금융지주,우상향_20,0,10,10,0,0,3,10
하나금융지주,우상향_60,0,20,20,0,20,6,20
하나금융지주,합계,0,100,70,30,50,43,100
LG화학,골크_일단,0,0,10,0,10,0,10
LG화학,골크_일중,0,0,10,0,10,0,10
LG화학,골크_일장,0,0,10,0,10,0,10
LG화학,골크_단중,0,0,10,0,10,0,10
LG화학,골크_단장,0,0,10,0,10,0,10
LG화학,골크_중장,0,0,10,0,10,0,10
LG화학,우상향_5,0,0,10,0,10,0,10
LG화학,우상향_20,0,0,10,0,10,0,10
LG화학,우상향_60,0,0,20,0,20,0,20
LG화학,합계,0,0,100,0,100,0,100
크래프톤,골크_일단,10,10,0,10,0,10,10
크래프톤,골크_일중,10,10,0,10,0,10,10
크래프톤,골크_일장,10,10,0,10,0,10,10
크래프톤,골크_단중,10,10,0,10,0,10,10
크래프톤,골크_단장,10,10,0,10,0,10,10
크래프톤,골크_중장,10,10,0,10,0,10,10
크래프톤,우상향_5,10,10,0,10,0,10,10
크래프톤,우상향_20,10,10,0,10,0,10,10
크래프톤,우상향_60,20,20,0,20,0,20,20
크래프톤,합계,100,100,0,100,0,100,100
두산에너빌리티,골크_일단,0,10,0,10,0,6,10
두산에너빌리티,골크_일중,10,10,0,10,0,10,10
두산에너빌리티,골크_일장,10,10,0,10,0,10,10
두산에너빌리티,골크_단중,10,10,0,10,0,10,10
두산에너빌리티,골크_단장,10,10,0,10,0,10,10
두산에너빌리티,골크_중장,10,0,0,10,10,6,10
두산에너빌리티,우상향_5,10,10,0,10,0,10,10
두산에너빌리티,우상향_20,10,10,0,10,0,10,10
두산에너빌리티,우상향_60,20,20,0,20,20,20,20
두산에너빌리티,합계,90,90,0,100,30,93,100
삼성SDI,골크_일단,0,0,10,0,0,0,10
삼성SDI,골크_일중,0,0,10,0,10,0,10
삼성SDI,골크_일장,0,0,10,0,10,0,10
삼성SDI,골크_단중,0,0,10,0,10,0,10
삼성SDI,골크_단장,0,0,10,0,10,0,10
삼성SDI,골크_중장,0,0,10,0,10,0,10
삼성SDI,우상향_5,0,0,10,0,0,0,10
삼성SDI,우상향_20,0,0,10,0,10,0,10
삼성SDI,우상향_60,0,0,20,0,20,0,20
삼성SDI,합계,0,0,100,0,80,0,100
고려아연,골크_일단,0,10,0,10,10,6,10
고려아연,골크_일중,0,10,10,0,10,3,10
고려아연,골크_일장,0,10,10,0,10,3,10
고려아연,골크_단중,0,10,10,0,10,3,10
고려아연,골크_단장,0,10,10,0,10,3,10
고려아연,골크_중장,0,10,10,0,10,3,10
고려아연,우상향_5,0,10,0,10,10,6,10
고려아연,우상향_20,0,10,10,0,10,3,10
고려아연,우상향_60,0,20,20,0,20,6,20
고려아연,합계,0,100,80,20,100,40,100
HD한국조선해양,골크_일단,0,0,10,0,0,0,10
HD한국조선해양,골크_일중,0,10,10,0,0,3,10
HD한국조선해양,골크_일장,0,10,0,10,0,6,10
HD한국조선해양,골크_단중,0,10,10,0,10,3,10
HD한국조선해양,골크_단장,0,10,0,10,0,6,10
HD한국조선해양,골크_중장,10,10,0,10,0,10,10
HD한국조선해양,우상향_5,0,10,10,0,0,3,10
HD한국조선해양,우상향_20,0,10,10,0,0,3,10
HD한국조선해양,우상향_60,20,20,0,20,0,20,20
HD한국조선해양,합계,30,90,50,50,10,56,100
한국전력,골크_일단,10,0,0,10,10,6,10
한국전력,골크_일중,10,0,10,0,10,3,10
한국전력,골크_일장,10,0,10,0,10,3,10
한국전력,골크_단중,10,0,10,0,10,3,10
한국전력,골크_단장,10,0,10,0,10,3,10
한국전력,골크_중장,10,0,10,0,10,3,10
한국전력,우상향_5,10,10,0,10,10,10,10
한국전력,우상향_20,10,0,10,0,10,3,10
한국전력,우상향_60,20,0,0,20,20,13,20
한국전력,합계,100,10,60,40,100,50,100
LG전자,골크_일단,0,0,10,0,0,0,10
LG전자,골크_일중,0,0,10,0,0,0,10
LG전자,골크_일장,0,0,10,0,10,0,10
LG전자,골크_단중,0,0,10,0,10,0,10
LG전자,골크_단장,0,0,10,0,10,0,10
LG전자,골크_중장,0,0,10,0,10,0,10
LG전자,우상향_5,0,10,10,0,10,3,10
LG전자,우상향_20,0,0,10,0,0,0,10
LG전자,우상향_60,0,0,20,0,20,0,20
LG전자,합계,0,10,100,0,70,3,100
기업은행,골크_일단,10,10,0,10,0,10,10
기업은행,골크_일중,10,10,0,10,10,10,10
기업은행,골크_일장,0,10,0,10,10,6,10
기업은행,골크_단중,10,10,0,10,10,10,10
기업은행,골크_단장,0,10,10,0,10,3,10
기업은행,골크_중장,0,10,10,0,10,3,10
기업은행,우상향_5,10,10,0,10,10,10,10
기업은행,우상향_20,10,10,0,10,10,10,10
기업은행,우상향_60,0,20,20,0,20,6,20
기업은행,합계,50,100,40,60,90,70,100
KT&G,골크_일단,0,10,0,10,0,6,10
KT&G,골크_일중,0,10,10,0,0,3,10
KT&G,골크_일장,0,10,10,0,10,3,10
KT&G,골크_단중,0,0,10,0,10,0,10
KT&G,골크_단장,0,0,10,0,10,0,10
KT&G,골크_중장,0,10,10,0,10,3,10
KT&G,우상향_5,0,10,0,10,0,6,10
KT&G,우상향_20,10,0,10,0,10,3,10
KT&G,우상향_60,0,20,0,20,20,13,20
KT&G,합계,10,70,60,40,70,40,100
우리금융지주,골크_일단,10,10,0,10,0,10,10
우리금융지주,골크_일중,10,0,0,10,10,6,10
우리금융지주,골크_일장,10,0,10,0,0,3,10
우리금융지주,골크_단중,10,0,0,10,10,6,10
우리금융지주,골크_단장,10,0,10,0,0,3,10
우리금융지주,골크_중장,10,0,10,0,0,3,10
우리금융지주,우상향_5,10,10,0,10,10,10,10
우리금융지주,우상향_20,10,0,0,10,0,6,10
우리금융지주,우상향_60,20,0,0,20,0,13,20
우리금융지주,합계,100,20,30,70,30,63,100
삼성중공업,골크_일단,0,0,10,0,0,0,10
삼성중공업,골크_일중,0,10,10,0,0,3,10
삼성중공업,골크_일장,0,10,0,10,0,6,10
삼성중공업,골크_단중,0,10,10,0,0,3,10
삼성중공업,골크_단장,10,10,0,10,0,10,10
삼성중공업,골크_중장,10,10,0,10,10,10,10
삼성중공업,우상향_5,0,0,10,0,10,0,10
삼성중공업,우상향_20,0,10,10,0,0,3,10
삼성중공업,우상향_60,20,20,0,20,0,20,20
삼성중공업,합계,40,80,50,50,20,56,100
SK스퀘어,골크_일단,10,10,0,10,10,10,10
SK스퀘어,골크_일중,0,10,0,10,10,6,10
SK스퀘어,골크_일장,0,10,0,10,10,6,10
SK스퀘어,골크_단중,0,10,0,10,10,6,10
SK스퀘어,골크_단장,0,10,0,10,10,6,10
SK스퀘어,골크_중장,0,10,0,10,10,6,10
SK스퀘어,우상향_5,0,10,0,10,10,6,10
SK스퀘어,우상향_20,0,10,0,10,10,6,10
SK스퀘어,우상향_60,0,20,0,20,20,13,20
SK스퀘어,합계,10,100,0,100,100,70,100
SK텔레콤,골크_일단,10,0,0,10,0,6,10
SK텔레콤,골크_일중,10,0,10,0,10,3,10
SK텔레콤,골크_일장,0,0,10,0,10,0,10
SK텔레콤,골크_단중,0,0,10,0,10,0,10
SK텔레콤,골크_단장,0,0,10,0,10,0,10
SK텔레콤,골크_중장,0,10,10,0,0,3,10
SK텔레콤,우상향_5,0,0,10,0,10,0,10
SK텔레콤,우상향_20,0,0,10,0,10,0,10
SK텔레콤,우상향_60,0,20,20,0,20,6,20
SK텔레콤,합계,20,30,90,10,80,20,100
KT,골크_일단,10,10,0,10,0,10,10
KT,골크_일중,10,10,0,10,0,10,10
KT,골크_일장,10,10,0,10,10,10,10
KT,골크_단중,10,10,0,10,0,10,10
KT,골크_단장,10,10,0,10,10,10,10
KT,골크_중장,10,10,0,10,10,10,10
KT,우상향_5,10,10,0,10,0,10,10
KT,우상향_20,10,10,0,10,0,10,10
KT,우상향_60,20,20,0,20,20,20,20
KT,합계,100,100,0,100,50,100,100
카카오뱅크,골크_일단,10,0,0,10,10,6,10
카카오뱅크,골크_일중,0,0,10,0,10,0,10
카카오뱅크,골크_일장,0,10,10,0,10,3,10
카카오뱅크,골크_단중,0,0,10,0,10,0,10
카카오뱅크,골크_단장,0,10,10,0,10,3,10
카카오뱅크,골크_중장,0,10,0,10,0,6,10
카카오뱅크,우상향_5,10,0,0,10,10,6,10
카카오뱅크,우상향_20,0,0,10,0,0,0,10
카카오뱅크,우상향_60,0,20,0,20,20,13,20
카카오뱅크,합계,20,50,50,50,80,40,100
HD현대일렉트릭,골크_일단,0,10,10,0,10,3,10
HD현대일렉트릭,골크_일중,0,10,10,0,10,3,10
HD현대일렉트릭,골크_일장,0,10,10,0,10,3,10
HD현대일렉트릭,골크_단중,0,0,10,0,10,0,10
HD현대일렉트릭,골크_단장,0,10,10,0,10,3,10
HD현대일렉트릭,골크_중장,10,10,0,10,0,10,10
HD현대일렉트릭,우상향_5,0,10,0,10,10,6,10
HD현대일렉트릭,우상향_20,0,10,10,0,10,3,10
HD현대일렉트릭,우상향_60,0,20,0,20,0,13,20
HD현대일렉트릭,합계,10,90,60,40,70,46,100
HLB,골크_일단,10,10,0,10,0,10,10
HLB,골크_일중,0,0,10,0,10,0,10
HLB,골크_일장,0,10,10,0,10,3,10
HLB,골크_단중,0,0,10,0,10,0,10
HLB,골크_단장,0,10,10,0,10,3,10
HLB,골크_중장,0,10,10,0,10,3,10
HLB,우상향_5,10,10,0,10,10,10,10
HLB,우상향_20,10,0,10,0,10,3,10
HLB,우상향_60,0,20,0,20,20,13,20
HLB,합계,30,70,60,40,90,46,100
에코프로비엠,골크_일단,10,0,0,10,10,6,10
에코프로비엠,골크_일중,0,10,0,10,10,6,10
에코프로비엠,골크_일장,10,10,0,10,0,10,10
에코프로비엠,골크_단중,0,10,0,10,10,6,10
에코프로비엠,골크_단장,10,10,0,10,0,10,10
에코프로비엠,골크_중장,10,0,0,10,0,6,10
에코프로비엠,우상향_5,0,0,10,0,10,0,10
에코프로비엠,우상향_20,0,10,0,10,10,6,10
에코프로비엠,우상향_60,20,0,0,20,0,13,20
에코프로비엠,합계,60,50,10,90,50,66,100
포스코퓨처엠,골크_일단,10,0,0,10,10,6,10
포스코퓨처엠,골크_일중,0,0,10,0,10,0,10
포스코퓨처엠,골크_일장,10,0,10,0,0,3,10
포스코퓨처엠,골크_단중,0,0,10,0,10,0,10
포스코퓨처엠,골크_단장,10,0,10,0,0,3,10
포스코퓨처엠,골크_중장,10,0,10,0,0,3,10
포스코퓨처엠,우상향_5,10,0,10,0,10,3,10
포스코퓨처엠,우상향_20,10,0,10,0,10,3,10
포스코퓨처엠,우상향_60,20,0,20,0,0,6,20
포스코퓨처엠,합계,80,0,90,10,50,30,100
하이브,골크_일단,10,10,0,10,0,10,10
하이브,골크_일중,10,10,0,10,0,10,10
하이브,골크_일장,0,10,0,10,0,6,10
하이브,골크_단중,10,10,0,10,0,10,10
하이브,골크_단장,0,10,0,10,0,6,10
하이브,골크_중장,0,10,0,10,0,6,10
하이브,우상향_5,10,0,0,10,0,6,10
하이브,우상향_20,10,10,0,10,0,10,10
하이브,우상향_60,0,20,0,20,0,13,20
하이브,합계,50,90,0,100,0,80,100
LG,골크_일단,10,0,0,10,10,6,10
LG,골크_일중,10,0,0,10,0,6,10
LG,골크_일장,10,0,10,0,10,3,10
LG,골크_단중,10,0,10,0,0,3,10
