회사,구분,점수
휠라홀딩스,우상향_5,15
휠라홀딩스,우상향_20,0
휠라홀딩스,우상향_60,0
휠라홀딩스,합계,15
동서,골크_단중,15
동서,골크_단장,15
동서,골크_중장,15
동서,우상향_5,15
동서,우상향_20,15
동서,우상향_60,25
동서,합계,100
셀트리온제약,골크_단중,0
셀트리온제약,골크_단장,0
셀트리온제약,골크_중장,0
셀트리온제약,우상향_5,0
셀트리온제약,우상향_20,0
셀트리온제약,우상향_60,0
셀트리온제약,합계,0
HPSP,골크_단중,15
HPSP,골크_단장,15
HPSP,골크_중장,15
HPSP,우상향_5,0
HPSP,우상향_20,0
HPSP,우상향_60,25
HPSP,합계,70
현대해상,골크_단중,15
현대해상,골크_단장,15
현대해상,골크_중장,0
현대해상,우상향_5,0
현대해상,우상향_20,15
현대해상,우상향_60,0
현대해상,합계,45
에스원,골크_단중,15
에스원,골크_단장,15
에스원,골크_중장,0
에스원,우상향_5,15
에스원,우상향_20,15
에스원,우상향_60,25
에스원,합계,85
대한전선,골크_단중,15
대한전선,골크_단장,15
대한전선,골크_중장,15
대한전선,우상향_5,0
대한전선,우상향_20,15
대한전선,우상향_60,0
대한전선,합계,60
코오롱티슈진,골크_단중,15
코오롱티슈진,골크_단장,15
코오롱티슈진,골크_중장,15
코오롱티슈진,우상향_5,15
코오롱티슈진,우상향_20,15
코오롱티슈진,우상향_60,25
코오롱티슈진,합계,100
펩트론,골크_단중,0
펩트론,골크_단장,0
펩트론,골크_중장,0
펩트론,우상향_5,0
펩트론,우상향_20,0
펩트론,우상향_60,0
펩트론,합계,0
롯데지주,골크_단중,15
롯데지주,골크_단장,0
롯데지주,골크_중장,0
롯데지주,우상향_5,15
롯데지주,우상향_20,15
롯데지주,우상향_60,0
롯데지주,합계,45
한전기술,골크_단중,15
한전기술,골크_단장,15
한전기술,골크_중장,15
한전기술,우상향_5,0
한전기술,우상향_20,15
한전기술,우상향_60,25
한전기술,합계,85
농심,골크_단중,0
농심,골크_단장,0
농심,골크_중장,0
농심,우상향_5,0
농심,우상향_20,0
농심,우상향_60,0
농심,합계,0
KCC,골크_단중,15
KCC,골크_단장,0
KCC,골크_중장,0
KCC,우상향_5,15
KCC,우상향_20,15
KCC,우상향_60,0
KCC,합계,45
F&F,골크_단중,0
F&F,골크_단장,0
F&F,골크_중장,0
F&F,우상향_5,15
F&F,우상향_20,0
F&F,우상향_60,0
F&F,합계,15
한화생명,골크_단중,0
한화생명,골크_단장,0
한화생명,골크_중장,0
한화생명,우상향_5,0
한화생명,우상향_20,0
한화생명,우상향_60,0
한화생명,합계,0
한올바이오파마,골크_단중,0
한올바이오파마,골크_단장,0
한올바이오파마,골크_중장,0
한올바이오파마,우상향_5,0
한올바이오파마,우상향_20,0
한올바이오파마,우상향_60,0
한올바이오파마,합계,0
아시아나항공,골크_단중,15
아시아나항공,골크_단장,15
아시아나항공,골크_중장,15
아시아나항공,우상향_5,15
아시아나항공,우상향_20,15
아시아나항공,우상향_60,25
아시아나항공,합계,100
한화,골크_단중,15
한화,골크_단장,15
한화,골크_중장,15
한화,우상향_5,15
한화,우상향_20,15
한화,우상향_60,25
한화,합계,100
산일전기,골크_단중,0
산일전기,골크_단장,0
산일전기,골크_중장,0
산일전기,우상향_5,0
산일전기,우상향_20,0
산일전기,우상향_60,25
산일전기,합계,25
SK가스,골크_단중,15
SK가스,골크_단장,15
SK가스,골크_중장,15
SK가스,우상향_5,0
SK가스,우상향_20,15
