날짜,시가,고가,저가,종가,거래량,등락률,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2022-12-16,4475,4525,4465,4525,86103,1.1173184357541899,-44502,-68,-8154,52724,0,11161,0,11237,63705,86103,55663,68,19391,10981,86103,-200471465,-306680,-37148390,237926535,0,50114600,0,50388555,287361050,387864205,250586065,306680,87536945,49434515,387864205
2022-12-19,4525,4525,4465,4500,34689,-0.5524861878453038,3165,224,6345,-9734,0,13151,224,21304,10,34689,9986,0,14959,9744,34689,14211895,1002400,28387665,-43601960,0,58931305,1002400,95391905,44755,155370365,44719410,0,67004240,43646715,155370365
2022-12-20,4500,4500,4440,4465,32173,-0.7777777777777778,-3454,0,4519,-1065,0,9009,0,22346,818,32173,12463,0,17827,1883,32173,-15374785,0,20121320,-4746535,0,40158940,0,99556405,3643190,143358535,55533725,0,79435085,8389725,143358535
2022-12-21,4485,4500,4405,4440,28017,-0.5599104143337066,-7144,0,8549,-1405,0,6169,0,21657,191,28017,13313,0,13108,1596,28017,-31437585,0,37725410,-6287825,0,27342510,0,95641800,843745,123828055,58780095,0,57916390,7131570,123828055
2022-12-22,4440,4490,4395,4455,46546,0.33783783783783783,-6498,0,3194,3304,0,24753,0,16442,5351,46546,31251,0,13248,2047,46546,-28699145,0,14059555,14639590,0,109610405,0,72705305,23747065,206062775,138309550,0,58645750,9107475,206062775
2022-12-23,4455,4465,4405,4445,55171,-0.22446689113355783,-12008,2106,4650,5252,0,26081,2106,18356,8628,55171,38089,0,13706,3376,55171,-53146375,9356350,20522935,23267090,0,115789250,9356350,81381825,38256960,244784385,168935625,0,60858890,14989870,244784385
2022-12-26,4445,4460,4385,4400,114628,-1.0123734533183353,-70333,-43,72172,-1796,0,23046,2457,81895,7230,114628,93379,2500,9723,9026,114628,-309463255,-173095,317683285,-8046935,0,101598215,10836470,360600030,31798815,504833530,411061470,11009565,42916745,39845750,504833530
2022-12-27,4400,4440,4380,4425,54762,0.5681818181818182,-15810,6221,10022,-433,0,16201,6221,31059,1281,54762,32011,0,21037,1714,54762,-69090655,27515955,43477555,-1902855,0,71544745,27515955,136410160,5654420,241125280,140635400,0,92932605,7557275,241125280
2022-12-28,4400,4440,4365,4385,134204,-0.903954802259887,-94663,438,62271,31954,0,20777,438,78051,34938,134204,115440,0,15780,2984,134204,-414935720,1919225,272599805,140416690,0,91651440,1919225,342229655,153570685,589371005,506587160,0,69629850,13153995,589371005
2022-12-29,4390,4460,4385,4425,33790,0.9122006841505131,5207,40,-8776,3529,0,17569,40,9885,6296,33790,12362,0,18661,2767,33790,23035315,175500,-38982315,15771500,0,77403850,175500,43637135,27914030,149130515,54368535,0,82619450,12142530,149130515
